name;call;npc;value
intro_0;null;(((game.kernel_level_1.kernel, hello)));((""),("Willkommen zu Solar Tech Corp!",light_purple))
intro_1;null;(((game.kernel_level_1.kernel, long_talking)));((""),("Letzte Woche wurden wir von Geistern angegriffen.",light_purple))
intro_2;null;(((game.kernel_level_1.kernel, talking)));((""),("Also haben wir beschlossen unser Sicherheitssystem zu verbessern.",light_purple))
intro_3;null;(((game.kernel_level_1.kernel, long_talking)));((""),("Um dies zu tun, wollen wir unsere neue Technologie namens Bluestone benutzen.",light_purple))
intro_4;null;(((game.kernel_level_1.kernel, requirement)));((""),("Wir brauchen dich, um dessen Leistungsfähigkeit zu testen.",light_purple))

level_1_0;null;(((game.kernel_level_1.kernel, long_talking)));((""),("Bluestone funktioniert wie Redstone, aber mit unbegrenzter Reichweite.",light_purple))
level_1_1;null;(((game.kernel_level_1.kernel, talking)));((""),("Dein Ziel ist es die Bluestone-Lampe anzuschalten.",light_purple))

level_2_1;null;(((game.kernel_level_2.kernel, this)));((""),("Das ist ein UND-Gatter.",light_purple))
level_2_2;null;(((game.kernel_level_2.kernel, talking)));((""),("Es gibt AN aus, wenn dessen linke UND rechte Seite AN sind.",light_purple))

level_3_1;null;(((game.kernel_level_3.kernel, this)));((""),("Das ist ein NICHT-Gatter.",light_purple))
level_3_2;null;(((game.kernel_level_3.kernel, talking)));((""),("Es invertiert das eingehende Signal.",light_purple))

level_4_1;null;(((game.kernel_level_4.kernel, this)));((""),("Das ist ein ODER-Gatter.",light_purple))
level_4_2;null;(((game.kernel_level_4.kernel, talking)));((""),("Es gibt AN aus, wenn dessen linke ODER rechte Seiten AN ist.",light_purple))

level_6_1;null;(((game.kernel_level_6.kernel, this)));((""),("Das ist ein XOR-Gatter.",light_purple))
level_6_2;null;(((game.kernel_level_6.kernel, talking)));((""),("Es gibt AN aus, wenn es nur ein einziges AN Signal empfängt.",light_purple))

level_8_1;null;(((game.kernel_level_8.kernel, this)));((""),("Das ist ein Multiplexer.",light_purple))
level_8_2;null;(((game.kernel_level_8.kernel, long_talking)));((""),("Falls die untere Seite AUS ist, wird es das LINKE Signal kopieren und ausgeben.",light_purple))
level_8_3;null;(((game.kernel_level_8.kernel, talking)));((""),("Falls die untere Seite AN ist, wird es das RECHTE Signal kopieren und ausgeben.",light_purple))

level_10_1;null;(((game.kernel_level_10.kernel, this)));((""),("Das ist ein D-Flip-Flop.",light_purple))
level_10_2;null;(((game.kernel_level_10.kernel, insist)));((""),("Es ist eines der komplexesten Gatter, also pass auf.",light_purple))
level_10_3;null;(((game.kernel_level_10.kernel, long_talking)));((""),("Du siehst den kleinen Pfeil darauf?",light_purple))
level_10_4;null;(((game.kernel_level_10.kernel, talking)));((""),("Wenn die Seite mit dem Pfeil von AUS auf AN wechselt,",light_purple))
level_10_5;null;(((game.kernel_level_10.kernel, long_talking)));((""),("wird es das Signal von der anderen Seite kopieren und ausgeben.",light_purple))
level_10_6;null;(((game.kernel_level_10.kernel, talking)));((""),("Die Ausgabe wird sich nicht ändern, bis die Seite mit dem Pfeil wieder von AUS zu AN wechselt.",light_purple))

level_40_1;null;(((game.kernel_level_40.kernel, this)));((""),("Das ist ein D-Latch.",light_purple))
level_40_2;null;(((game.kernel_level_40.kernel, long_talking)));((""),("Du siehst das kleine E darauf?",light_purple))
level_40_3;null;(((game.kernel_level_40.kernel, talking)));((""),("Wenn die Seite mit dem E AN ist,",light_purple))
level_40_4;null;(((game.kernel_level_40.kernel, long_talking)));((""),("wird es das Signal von der anderen Seite kopieren und ausgeben.",light_purple))
level_40_5;null;(((game.kernel_level_40.kernel, talking)));((""),("Die Ausgabe bleibt dieselbe, falls die E Seite AUS ist.",light_purple))

level_50_1;null;(((game.kernel_level_50.kernel, clap)));((""),("Glückwunsch, du hast alle Tests abgeschlossen!",light_purple))
level_50_2;null;(((game.kernel_level_50.kernel, hello)));((""),("Auf Wiedersehen!",light_purple))

cable;null;(());((""),("Dies ist ein Kabel.",light_purple))
button;null;(());((""),("Dies ist ein Knopf. Du kannst ihn drücken.",light_purple))
constant;null;(());((""),("Dies ist eine Konstante. Ihre Ausgabe verändert sich nicht.",light_purple))
clock_0;null;(((game.kernel_level_clock.kernel, this)));((""),("Dies ist ein Taktsignal.",light_purple))
clock_1;null;(((game.kernel_level_clock.kernel, long_talking)));((""),("Seine Ausgabe verändert sich jede Sekunde.",light_purple))
nothing;null;(());((""),("Schaue auf ein Bluestone-Bauteil für mehr Informationen.",light_purple))

language_set;null;(());((""),("Sprache zu Deutsch gewechselt.",white))
no_reset;null;(());((""),("Die Karte hat kein Rücksetzsystem. Falls du nochmal spielen willst, musst du die Karte neu installieren.",red))
